"","trait","cpg","method","nsnp","beta","se","pval","decision","pass"
"1","Subjective well being","cg00094333","Wald ratio",1,2.99968571428571,0.500142857142857,2.00183791113132e-09,2,FALSE
"2","Subjective well being","cg00340382","Wald ratio",1,-7.50805714285714,0.478447619047619,1.70117381756318e-55,2,FALSE
"3","Subjective well being","cg01101355","Wald ratio",1,-2.5538619047619,0.480433333333333,1.06220829544742e-07,2,FALSE
"4","Subjective well being","cg01332882","Wald ratio",1,24.6525476190476,0.455980952380952,0,2,FALSE
"5","Subjective well being","cg01644741","Wald ratio",1,7.40650476190476,0.484833333333333,1.0985444687051e-52,2,FALSE
"6","Subjective well being","cg02625536","Wald ratio",1,4.15697142857143,0.480357142857143,4.97608736409183e-18,2,FALSE
"7","Subjective well being","cg03552268","Wald ratio",1,-3.52867619047619,0.499642857142857,1.63654676588391e-12,2,FALSE
"8","Subjective well being","cg03561897","Wald ratio",1,-2.49419523809524,0.480547619047619,2.09934574298327e-07,1,FALSE
"9","Subjective well being","cg04990372","Wald ratio",1,3.72585238095238,0.480038095238095,8.388012335696e-15,2,FALSE
"10","Subjective well being","cg08056390","Wald ratio",1,3.11713333333333,0.500380952380952,4.67865337295983e-10,2,FALSE
"11","Subjective well being","cg10192779","Wald ratio",1,2.44602380952381,0.480709523809524,3.61170501874074e-07,1,FALSE
"12","Subjective well being","cg11220565","Wald ratio",1,-9.51434285714286,0.477319047619048,2.11063929481084e-88,2,FALSE
"13","Subjective well being","cg11443683","Wald ratio",1,2.86432857142857,0.480485714285714,2.50210111955869e-09,2,FALSE
"14","Subjective well being","cg13928427","Wald ratio",1,-12.7135476190476,0.474495238095238,3.81243485431029e-158,2,FALSE
"15","Subjective well being","cg14714222","Wald ratio",1,25.8404333333333,0.453495238095238,0,2,FALSE
"16","Subjective well being","cg16704590","Wald ratio",1,5.0957,0.4788,1.88688727697208e-26,2,FALSE
"17","Subjective well being","cg18598146","Wald ratio",1,3.07297142857143,0.485123809523809,2.3825654751482e-10,2,FALSE
"18","Subjective well being","cg18756580","Wald ratio",1,-2.86865238095238,0.480428571428571,2.35763486179935e-09,2,FALSE
"19","Subjective well being","cg20678377","Wald ratio",1,9.46111428571429,0.476666666666667,1.13559159512492e-87,2,FALSE
"20","Subjective well being","cg21245122","Wald ratio",1,-3.57298095238095,0.48027619047619,1.01120901097862e-13,2,FALSE
